,Name,Classification,Released_games,Unreleased_games,Total_revenue,Avg_revenue_per_game,Med_revenue_per_game,%_developed_in_house,%_indie_releases,Action,Casual,Adventure,Simaulation,Strategy,RPG,MMO,Racing,Sports
228,Henteko Doujin ,Indie,26,2,1000000,39522,22025,0,0.86,0.93,0.36,0.04,0.04,0.04,0.04,0,0,0
229,Light of Creators ,Indie,26,3,518000,19937,6736,0,0.93,0.38,0.34,0.34,0.17,0.28,0.52,0.03,0,0.03
230,Neon Doctrine ,Indie,26,4,16700000,642000,144000,0,0.87,0.67,0.13,0.77,0.17,0.1,0.3,0,0,0
231,Dear Villagers ,Indie,26,4,17100000,658000,239000,0,0.73,0.6,0.03,0.6,0.1,0.2,0.33,0,0.03,0
232,Ammonite Design Studios Ltd ,Indie,26,1,8103,312,120,1,0.96,0.59,0.89,0.26,0.52,0.11,0.04,0,0.07,0.19
233,gigantumgames ,Indie,26,0,92246,3548,1048,0,0.96,0.23,0.65,0.38,0.5,0.08,0.04,0,0.12,0.46
234,Phoenixxx Games ,Indie,26,0,47058,1810,1132,1,0.69,0.35,0.42,0.19,0.08,0.19,0,0,0.04,0.04
235,CrewLab ,Indie,26,1,139000,5362,1996,1,1,0,1,0,0.04,0,0.04,0,0,0
236,My Label Game Studio ,Indie,26,0,5840,225,174,1,1,0,0.54,0,0,0,0,0,0,0
237,RMAsia ,Indie,26,5,220000,8443,3940,0,0.87,0.1,0.45,0.65,0.06,0.26,0.87,0,0,0
238,Twin Sails Interactive ,Indie,25,4,17900000,714000,222000,0.17,0.38,0.14,0.45,0.21,0.14,0.79,0.24,0,0,0
239,Annapurna Interactive ,Indie,25,10,142000000,5700000,534000,0,0.74,0.34,0.31,0.91,0.03,0,0.06,0,0,0
241,3D Realms (Apogee Software) ,Indie,25,0,454000,18157,16532,0.4,0,0.84,0.04,0.4,0.04,0,0,0,0.08,0
242,HotFoodGames ,Indie,25,1,15907,636,336,1,1,0.12,0.38,0.12,0,0,0,0,0,0
243,Vita Games ,Indie,25,0,0,0,0,0.08,0.96,0.68,0.48,0.28,0.08,0.08,0.08,0,0,0
